STATE/UT,DISTRICT,YEAR,RAPE
UTTARAKHAND,ALMORA,2012,5
RAJASTHAN,ALWAR,2001,34
RAJASTHAN,ALWAR,2002,44
RAJASTHAN,ALWAR,2003,50
RAJASTHAN,ALWAR,2004,43
RAJASTHAN,ALWAR,2005,52
RAJASTHAN,ALWAR,2006,81
RAJASTHAN,ALWAR,2007,73
RAJASTHAN,ALWAR,2008,88
RAJASTHAN,ALWAR,2009,101
RAJASTHAN,ALWAR,2010,105
RAJASTHAN,ALWAR,2011,99
RAJASTHAN,ALWAR,2012,129
HARYANA,AMBALA,2001,11
HARYANA,AMBALA,2002,15
HARYANA,AMBALA,2003,10
HARYANA,AMBALA,2004,10
HARYANA,AMBALA,2005,19
HARYANA,AMBALA,2006,19
HARYANA,AMBALA,2007,23
HARYANA,AMBALA,2008,35
HARYANA,AMBALA,2009,28
HARYANA,AMBALA,2010,30
HARYANA,AMBALA,2011,37
HARYANA,AMBALA RURAL,2012,11
HARYANA,AMBALA URBAN,2012,21
UTTAR PRADESH,AMBEDKAR NAGAR,2001,19
UTTAR PRADESH,AMBEDKAR NAGAR,2002,10
UTTAR PRADESH,AMBEDKAR NAGAR,2003,7
UTTAR PRADESH,AMBEDKAR NAGAR,2004,10
UTTAR PRADESH,AMBEDKAR NAGAR,2005,11
UTTAR PRADESH,AMBEDKAR NAGAR,2006,10
UTTAR PRADESH,AMBEDKAR NAGAR,2007,15
UTTAR PRADESH,AMBEDKAR NAGAR,2008,18
UTTAR PRADESH,AMBEDKAR NAGAR,2009,19
UTTAR PRADESH,AMBEDKAR NAGAR,2010,20
UTTAR PRADESH,AMBEDKAR NAGAR,2011,16
UTTAR PRADESH,AMBEDKAR NAGAR,2012,12
MAHARASHTRA,AMRAVATI COMMR.,2001,23
MAHARASHTRA,AMRAVATI COMMR.,2002,18
MAHARASHTRA,AMRAVATI COMMR.,2003,26
MAHARASHTRA,AMRAVATI COMMR.,2004,17
MAHARASHTRA,AMRAVATI COMMR.,2005,23
MAHARASHTRA,AMRAVATI COMMR.,2006,21
MAHARASHTRA,AMRAVATI COMMR.,2007,7
MAHARASHTRA,AMRAVATI COMMR.,2008,22
MAHARASHTRA,AMRAVATI COMMR.,2009,17
MAHARASHTRA,AMRAVATI COMMR.,2010,20
MAHARASHTRA,AMRAVATI COMMR.,2011,22
MAHARASHTRA,AMRAVATI COMMR.,2012,20
MAHARASHTRA,AMRAVATI RURAL,2001,42
MAHARASHTRA,AMRAVATI RURAL,2002,66
MAHARASHTRA,AMRAVATI RURAL,2003,47
MAHARASHTRA,AMRAVATI RURAL,2004,56
MAHARASHTRA,AMRAVATI RURAL,2005,60
MAHARASHTRA,AMRAVATI RURAL,2006,44
MAHARASHTRA,AMRAVATI RURAL,2007,58
MAHARASHTRA,AMRAVATI RURAL,2008,47
MAHARASHTRA,AMRAVATI RURAL,2009,49
MAHARASHTRA,AMRAVATI RURAL,2010,40
MAHARASHTRA,AMRAVATI RURAL,2011,69
MAHARASHTRA,AMRAVATI RURAL,2012,64
GUJARAT,AMRELI,2001,2
GUJARAT,AMRELI,2002,4
GUJARAT,AMRELI,2003,6
GUJARAT,AMRELI,2004,5
GUJARAT,AMRELI,2005,11
