STATE/UT,DISTRICT,YEAR,THEFT
MAHARASHTRA,AMRAVATI COMMR.,2011,1004
MAHARASHTRA,AMRAVATI COMMR.,2010,988
MAHARASHTRA,AMRAVATI COMMR.,2003,948
MAHARASHTRA,AMRAVATI COMMR.,2004,838
MAHARASHTRA,AMRAVATI COMMR.,2001,812
MAHARASHTRA,AMRAVATI COMMR.,2002,791
MAHARASHTRA,AMRAVATI COMMR.,2005,782
MAHARASHTRA,AMRAVATI COMMR.,2012,778
MAHARASHTRA,AMRAVATI COMMR.,2006,735
MAHARASHTRA,AMRAVATI COMMR.,2009,697
MAHARASHTRA,AMRAVATI COMMR.,2007,691
MAHARASHTRA,AMRAVATI COMMR.,2008,633
MAHARASHTRA,AMRAVATI RURAL,2002,1052
MAHARASHTRA,AMRAVATI RURAL,2001,1031
MAHARASHTRA,AMRAVATI RURAL,2008,1003
MAHARASHTRA,AMRAVATI RURAL,2005,927
MAHARASHTRA,AMRAVATI RURAL,2003,902
MAHARASHTRA,AMRAVATI RURAL,2004,888
MAHARASHTRA,AMRAVATI RURAL,2009,867
MAHARASHTRA,AMRAVATI RURAL,2010,850
MAHARASHTRA,AMRAVATI RURAL,2006,845
MAHARASHTRA,AMRAVATI RURAL,2012,841
MAHARASHTRA,AMRAVATI RURAL,2011,779
MAHARASHTRA,AMRAVATI RURAL,2007,761
GUJARAT,AMRELI,2008,218
GUJARAT,AMRELI,2009,217
GUJARAT,AMRELI,2001,199
GUJARAT,AMRELI,2010,188
GUJARAT,AMRELI,2005,186
GUJARAT,AMRELI,2007,172
GUJARAT,AMRELI,2006,169
GUJARAT,AMRELI,2003,164
GUJARAT,AMRELI,2002,158
GUJARAT,AMRELI,2004,158
GUJARAT,AMRELI,2012,149
GUJARAT,AMRELI,2011,134
PUNJAB,AMRITSAR,2008,466
PUNJAB,AMRITSAR,2007,445
PUNJAB,AMRITSAR,2009,430
PUNJAB,AMRITSAR,2006,349
PUNJAB,AMRITSAR,2004,181
PUNJAB,AMRITSAR,2003,161
PUNJAB,AMRITSAR,2001,141
PUNJAB,AMRITSAR,2002,132
